date,fixing_ii_price,fixing_ii_volume,hard_coal,coal-derived,lignite,gas,oil,biomass,wind_onshore,solar,hydro_pumped_storage,hydro_run-of-river_and_poundage,hydro_water_reservoir,weekday,weekend,weekday_test,is_holiday
2021-06-03 00:00:00,258.1,1266.3,6122.0,54.0,3254.0,1312.0,199.0,241.0,1674.0,0.0,20.0,178.0,0.0,3,0,Thursday,1
2021-06-03 01:00:00,252.88,1139.5,5983.0,55.0,2972.0,1306.0,198.0,237.0,1463.0,0.0,0.0,174.0,0.0,3,0,Thursday,1
2021-06-03 02:00:00,251.79,972.0,5969.0,55.0,2958.0,1307.0,198.0,235.0,1317.0,0.0,0.0,174.0,0.0,3,0,Thursday,1
2021-06-03 03:00:00,250.88,860.9,6000.0,56.0,2989.0,1311.0,199.0,236.0,1110.0,0.0,0.0,174.0,0.0,3,0,Thursday,1
2021-06-03 04:00:00,251.05,676.5,6051.0,55.0,2989.0,1311.0,199.0,245.0,910.0,8.0,0.0,174.0,0.0,3,0,Thursday,1
2021-06-03 05:00:00,253.28,406.6,6107.0,56.0,2868.0,1308.0,199.0,247.0,830.0,124.0,0.0,174.0,0.0,3,0,Thursday,1
2021-06-03 06:00:00,253.19,1166.8,6297.0,55.0,3221.0,1325.0,199.0,248.0,648.0,570.0,0.0,173.0,0.0,3,0,Thursday,1
2021-06-03 07:00:00,272.42,1003.9,6668.0,47.0,4025.0,1374.0,198.0,246.0,332.0,1239.0,70.0,171.0,0.0,3,0,Thursday,1
2021-06-03 08:00:00,275.83,858.1,6709.0,47.0,4229.0,1362.0,198.0,248.0,113.0,1906.0,95.0,173.0,0.0,3,0,Thursday,1
2021-06-03 09:00:00,262.22,635.6,6599.0,51.0,3993.0,1356.0,197.0,248.0,164.0,2565.0,111.0,174.0,0.0,3,0,Thursday,1
2021-06-03 10:00:00,259.92,545.8,6335.0,53.0,3724.0,1340.0,197.0,249.0,369.0,2928.0,10.0,178.0,0.0,3,0,Thursday,1
2021-06-03 11:00:00,265.11,536.7,6341.0,62.0,3263.0,1343.0,198.0,248.0,400.0,3039.0,0.0,179.0,0.0,3,0,Thursday,1
2021-06-03 12:00:00,271.29,454.3,6207.0,66.0,3135.0,1344.0,198.0,247.0,321.0,2941.0,0.0,179.0,0.0,3,0,Thursday,1
2021-06-03 13:00:00,274.86,471.3,6312.0,69.0,3030.0,1343.0,197.0,247.0,293.0,2846.0,0.0,181.0,0.0,3,0,Thursday,1
2021-06-03 14:00:00,280.99,541.3,6376.0,68.0,3484.0,1342.0,198.0,247.0,277.0,3041.0,0.0,182.0,0.0,3,0,Thursday,1
2021-06-03 15:00:00,255.97,501.5,6137.0,68.0,3308.0,1344.0,198.0,248.0,357.0,2857.0,0.0,181.0,0.0,3,0,Thursday,1
2021-06-03 16:00:00,264.71,282.9,6131.0,67.0,3387.0,1343.0,198.0,246.0,411.0,2375.0,0.0,185.0,0.0,3,0,Thursday,1
2021-06-03 17:00:00,278.07,285.3,6577.0,66.0,4057.0,1369.0,198.0,246.0,391.0,1786.0,0.0,195.0,0.0,3,0,Thursday,1
2021-06-03 18:00:00,357.69,655.7,7556.0,68.0,4833.0,1566.0,198.0,248.0,381.0,1244.0,0.0,196.0,46.0,3,0,Thursday,1
2021-06-03 19:00:00,357.71,444.1,7587.0,68.0,4924.0,1589.0,198.0,249.0,426.0,605.0,85.0,196.0,53.0,3,0,Thursday,1
2021-06-03 20:00:00,352.11,410.3,7510.0,70.0,4864.0,1602.0,199.0,248.0,548.0,197.0,286.0,208.0,53.0,3,0,Thursday,1
2021-06-03 21:00:00,317.33,531.5,7438.0,72.0,4774.0,1591.0,197.0,247.0,898.0,8.0,268.0,210.0,53.0,3,0,Thursday,1
2021-06-03 22:00:00,311.54,713.3,7226.0,71.0,4705.0,1514.0,200.0,246.0,1153.0,0.0,47.0,199.0,52.0,3,0,Thursday,1
2021-06-03 23:00:00,265.26,721.8,6625.0,71.0,4116.0,1317.0,200.0,246.0,1250.0,0.0,0.0,178.0,52.0,3,0,Thursday,1
2021-08-15 00:00:00,336.5,669.3,7304.0,41.0,3964.0,1274.0,187.0,239.0,995.0,0.0,1.0,172.0,0.0,6,1,Sunday,1
2021-08-15 01:00:00,319.07,807.5,6661.0,41.0,3851.0,1249.0,187.0,235.0,930.0,0.0,0.0,172.0,0.0,6,1,Sunday,1
2021-08-15 02:00:00,296.44,733.9,6685.0,41.0,3648.0,1247.0,187.0,237.0,936.0,0.0,0.0,172.0,0.0,6,1,Sunday,1
2021-08-15 03:00:00,285.05,638.9,6286.0,42.0,3437.0,1241.0,186.0,239.0,983.0,0.0,0.0,172.0,0.0,6,1,Sunday,1
2021-08-15 04:00:00,275.39,619.7,5880.0,42.0,3440.0,1258.0,186.0,241.0,1059.0,0.0,0.0,172.0,0.0,6,1,Sunday,1
2021-08-15 05:00:00,273.87,685.3,5804.0,42.0,3217.0,1253.0,186.0,246.0,1148.0,9.0,0.0,172.0,0.0,6,1,Sunday,1
2021-08-15 06:00:00,273.35,599.8,5708.0,42.0,3184.0,1252.0,186.0,247.0,1236.0,178.0,0.0,171.0,0.0,6,1,Sunday,1
2021-08-15 07:00:00,283.84,440.9,5632.0,42.0,3427.0,1283.0,187.0,245.0,1113.0,750.0,0.0,171.0,0.0,6,1,Sunday,1
2021-08-15 08:00:00,278.9,646.7,5514.0,42.0,3451.0,1313.0,187.0,247.0,1001.0,1381.0,0.0,170.0,0.0,6,1,Sunday,1
2021-08-15 09:00:00,279.04,661.3,5502.0,41.0,3339.0,1420.0,187.0,246.0,1236.0,2041.0,0.0,169.0,0.0,6,1,Sunday,1
2021-08-15 10:00:00,271.79,1106.2,5457.0,40.0,2769.0,1475.0,187.0,246.0,1547.0,2348.0,0.0,170.0,0.0,6,1,Sunday,1
2021-08-15 11:00:00,260.72,1126.8,5464.0,40.0,2549.0,1291.0,187.0,247.0,1754.0,2622.0,0.0,169.0,0.0,6,1,Sunday,1
